username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
Dailyaitadal,06-06-2016 21:03,0,1,"* Aap Tamam Follower ,s Ko Twitter Incharge & Aitadal Team Ki Taraf Sy Ramzan-Karim Ka Chand Mubarak Ho.# +92 3139317670",,,#,7.40E+17,https://twitter.com/Dailyaitadal/status/739842689374375936
ARYNewsDera,06-06-2016 21:01,0,0,"* Aap Tamam Follower ,s Ko Twitter Incharge & ARY Team Ki Taraf Sy Ramzan-Karim Ka Chand Mubarak Ho.# +92 3139317670",,,#,7.40E+17,https://twitter.com/ARYNewsDera/status/739842274889240576
Raajarora1974,06-06-2016 13:28,0,0,@ChaturvediPFC @priyankac19 aap ki fans ho gaye good 392 hi hai 150K news aur comdey k liye follow kartey hai kya aap ko.. I M UR FOLLOWER,,@ChaturvediPFC @priyankac19,,7.40E+17,https://twitter.com/Raajarora1974/status/739728111953121280
iamintimacy,06-06-2016 11:47,0,0,@shahsweetym @MahaveerM_ @rkbnow WHEN YOU HAVE JUST ONE FOLLOWER AND ONE MORE FOOL JOINS HIM -HEADLINES BY PRESS - AAP SUPPORTERS DOUBLE,,@shahsweetym @MahaveerM_ @rkbnow,,7.40E+17,https://twitter.com/iamintimacy/status/739702705745186817
chandigarhwala,06-06-2016 08:51,0,0,@ArvindKejriwal sir i am a follower of AAP but seeeing u shout modi modi everyday hurts Lets do something constructive...,,@ArvindKejriwal,,7.40E+17,https://twitter.com/chandigarhwala/status/739658398367645698
Anuj_AAP,06-06-2016 03:55,0,0,Just the one new follower today found welcome tracked by http:// unfollowspy.com,,,,7.40E+17,https://twitter.com/Anuj_AAP/status/739584009018081280
Bahukhandi,05-06-2016 14:30,0,0,@ArvindKejriwal @msisodia @AamAadmiParty use to be AAP follower but your attitude towards people greviance is just shameful. Disillusioned,,@ArvindKejriwal @msisodia @AamAadmiParty,,7.39E+17,https://twitter.com/Bahukhandi/status/739381482419040256
PrasannaVivek,05-06-2016 10:35,0,0,@shalendra100 @ArvindKejriwal yes aap followers are only promoting it i myself an app follower but some are spreading this hatred msg,,@shalendra100 @ArvindKejriwal,,7.39E+17,https://twitter.com/PrasannaVivek/status/739322236423675905
GabbarS80461561,05-06-2016 07:58,0,0,@ghatak_katya @ZubinaAhmad @Enli8ndMuslim @narendrapjoshi @Mdsaif11Saif @Asif_ AAP ab tum sach main Dani h.. Kattapa ke Follower,,@ghatak_katya @ZubinaAhmad @Enli8ndMuslim @narendrapjoshi @Mdsaif11Saif @Asif_,,7.39E+17,https://twitter.com/GabbarS80461561/status/739282644395917313
YasharthGenxt,05-06-2016 02:23,0,0,@KumarVishwasAAP Aise kayi aur mahanubhav hai..jiske aap aur aapke AK bhaisaab follower h..eg. @VishalDadlani https:// twitter.com/TajinderBagga/ status/737779646360489984 …,,@KumarVishwasAAP @VishalDadlani,,7.39E+17,https://twitter.com/YasharthGenxt/status/739198531014000640
BayarSandeep,04-06-2016 19:23,0,0,"@Asif_ AAP @hussain1585 @ZubinaAhmad Abhi maloom pada, u r the follower of AK more drama , more dharna and dhead shana",,@Asif_ @hussain1585 @ZubinaAhmad,,7.39E+17,https://twitter.com/BayarSandeep/status/739092824281452544
MhndrP,04-06-2016 14:23,0,0,Seems like AAP follower ... pic.twitter.com/AzVXhXSFyl,,,,7.39E+17,https://twitter.com/MhndrP/status/739017180868546561
ittefaq_se,04-06-2016 12:18,0,1,"@Asif_ AAP Well done bro Nice reply, to 17 follower wala ghulam",,@Asif_,,7.39E+17,https://twitter.com/ittefaq_se/status/738985651400384513
One_india1,04-06-2016 12:11,1,1,@bharat9xmcool @Burari_ aap @imNadimRamAli @BJP4India i m not a cult follower i was a follower of fake khujli.but knwng truth i dnt giv damn,,@bharat9xmcool @Burari_ @imNadimRamAli @BJP4India,,7.39E+17,https://twitter.com/One_india1/status/738984102079004677
___atif,03-06-2016 23:46,0,1,@h7u8d6a na aap meri Following mein ho na Follower mein na rishtay mein na rishtedari mein mein aap ko janta nahi to kyon kahonga apko,,@h7u8d6a,,7.39E+17,https://twitter.com/___atif/status/738796539750055937
pratikvyas77,03-06-2016 07:43,0,0,@Swamy39 dhume ko pata nahi he aadhe se jyada follower ko aap twitter per jo nautanki kar rahe ho isme bada maja aata he..,,@Swamy39,,7.39E+17,https://twitter.com/pratikvyas77/status/738554135176306692
aaakhanna,03-06-2016 06:39,0,0,swesingh007 AnjuNagarajan congratulations mummy...30k follower 's Jaldi lakhpati bano aap pic.twitter.com/iRBKJOyCIc,,,,7.39E+17,https://twitter.com/aaakhanna/status/738538137677402112
aaakhanna,03-06-2016 06:39,0,0,RT swesingh007: AnjuNagarajan congratulations mummy...30k follower 's Jaldi lakhpati bano aap pic.twitter.com/iRBKJOyCIc,,,,7.39E+17,https://twitter.com/aaakhanna/status/738538135857070080
faeemkn,02-06-2016 22:51,0,0,"@aleenakhan776 vry good eveningIm@faeemkn from Europe,openimind,hotsexy follower ,muje aap achi lage maine likhdiya..",,@aleenakhan776 @faeemkn,,7.38E+17,https://twitter.com/faeemkn/status/738420161485672448
